This table lists all knockdown/RNA-seq ENCODE experiments examined while
looking for LARS splicing regulators. The File column shows the rMATS
differential splicing quantifications file accession from each experiment.
Experiments missing this file were not included in the search.

CellLine Target    Experiment  File       
K562     BUD13     ENCSR267RHP ENCFF177JQG
K562     CCAR1     ENCSR386YEV ENCFF005ZVJ
K562     CCAR2     ENCSR984CLJ ENCFF076JPA
K562     CCDC124   ENCSR874ZLI ENCFF023LOM
K562     CELF1     ENCSR351CNN ENCFF509FGV
K562     CELF1     ENCSR605MFS ENCFF509FGV
K562     CIRBP     ENCSR056QEW ENCFF447XRQ
K562     CKAP4     ENCSR952OOP ENCFF756MNS
K562     CNOT7     ENCSR113PYX ENCFF262WIS
K562     CNOT8     ENCSR312HJY            
K562     CPEB4     ENCSR795VAK ENCFF807BMD
K562     CPSF6     ENCSR384BDV ENCFF237PUS
K562     CPSF7     ENCSR222LRL ENCFF569LTY
K562     CSTF2     ENCSR885YOI ENCFF562OFU
K562     CSTF2T    ENCSR286OKW ENCFF326YKQ
K562     DAZAP1    ENCSR907UTB ENCFF394AJI
K562     DDX1      ENCSR208GPE ENCFF235VSZ
K562     DDX19B    ENCSR281IUF ENCFF932CZM
K562     DDX21     ENCSR961WVL            
K562     DDX24     ENCSR067LLB ENCFF418XXY
K562     DDX27     ENCSR584LDM ENCFF551NBH
K562     DDX28     ENCSR205VSQ ENCFF676LCX
K562     DDX3X     ENCSR000KYM ENCFF907HVC
K562     DDX47     ENCSR155EZL ENCFF837WZN
K562     DDX47     ENCSR334HNJ ENCFF837WZN
K562     DDX51     ENCSR029LGJ ENCFF362TRS
K562     DDX52     ENCSR560RSZ ENCFF699TOM
K562     DDX55     ENCSR856CJK ENCFF059ZEV
K562     DDX6      ENCSR119QWQ ENCFF642OYI
K562     DHX30     ENCSR345VVZ ENCFF730NNR
K562     DKC1      ENCSR494UDF ENCFF401XOS
K562     DNAJC2    ENCSR577OVP ENCFF621LMX
K562     DNAJC21   ENCSR079LMZ ENCFF592CNX
K562     DROSHA    ENCSR624XHG ENCFF926NRS
K562     EEF2      ENCSR181RLB ENCFF726OHY
K562     EFTUD2    ENCSR117WLY ENCFF582DBT
K562     EIF2S1    ENCSR546MBH ENCFF309ERQ
K562     EIF2S2    ENCSR076PMZ ENCFF096SIE
K562     EIF3A     ENCSR258VGD ENCFF665EUP
K562     EIF3D     ENCSR660ETT ENCFF175XVT
K562     EIF3G     ENCSR143UET ENCFF117QRX
K562     EIF4A3    ENCSR961YAG ENCFF313ILW
K562     EIF4B     ENCSR774BXV ENCFF402SEW
K562     EIF4G1    ENCSR712CSN ENCFF900AVX
K562     EIF4G2    ENCSR040FSN ENCFF303QXT
K562     ESF1      ENCSR077BPR ENCFF480XUZ
K562     EWSR1     ENCSR831YGP ENCFF288AJS
K562     EXOSC9    ENCSR812EIA ENCFF097RYS
K562     FAM120A   ENCSR492BKM ENCFF128AXP
K562     FASTKD2   ENCSR608IAI ENCFF840SGC
K562     FIP1L1    ENCSR511BNY ENCFF068COB
K562     FKBP4     ENCSR379VXW ENCFF033QZD
K562     FMR1      ENCSR555LCE ENCFF446LLD
K562     FTO       ENCSR688GVV ENCFF401TEJ
K562     FUBP3     ENCSR373KOF ENCFF508NSC
K562     FUS       ENCSR325OOM ENCFF567PBH
K562     FXR1      ENCSR780YFF ENCFF554GUL
K562     FXR2      ENCSR577XBW            
K562     FXR2      ENCSR139BIJ            
K562     G3BP1     ENCSR792CBM ENCFF698KXR
K562     G3BP2     ENCSR246SOU ENCFF166URD
K562     GEMIN5    ENCSR398GHW ENCFF717ROU
K562     GLRX3     ENCSR874DVZ ENCFF473LAF
K562     GPKOW     ENCSR967QNT ENCFF999KQW
K562     GRSF1     ENCSR835RMN ENCFF159GWF
K562     GRWD1     ENCSR528ASX ENCFF830RQW
K562     GTF2F1    ENCSR188IPO ENCFF937WAH
K562     HLTF      ENCSR958NDU ENCFF697AUE
K562     HNRNPA0   ENCSR552NBS ENCFF975PFA
K562     HNRNPA1   ENCSR048BWH ENCFF258VNP
K562     HNRNPA2B1 ENCSR794NUE ENCFF964QGK
K562     HNRNPAB   ENCSR778WPL ENCFF877ZFC
K562     HNRNPC    ENCSR470PRV ENCFF312MYV
K562     HNRNPC    ENCSR634KBO ENCFF312MYV
K562     HNRNPF    ENCSR392HSJ ENCFF542IZE
K562     HNRNPK    ENCSR529JNJ ENCFF757KYW
K562     HNRNPL    ENCSR563YIS ENCFF467XNJ
K562     HNRNPM    ENCSR746NIM ENCFF230MRI
K562     HNRNPU    ENCSR732ICL ENCFF744FRY
K562     HNRNPU    ENCSR047IUS ENCFF744FRY
K562     HNRNPUL1  ENCSR034VBA ENCFF225SXO
K562     HSPD1     ENCSR222ABK ENCFF842GWK
K562     IGF2BP1   ENCSR629EWX            
K562     IGF2BP2   ENCSR952RRH ENCFF679KRQ
K562     IGF2BP3   ENCSR302JQA ENCFF687ZMC
K562     IGF2BP3   ENCSR481YXD ENCFF687ZMC
K562     ILF2      ENCSR126ARZ ENCFF054ZUA
K562     ILF3      ENCSR269HQA ENCFF888JIH
